year,country_x,city,avg_temp,MA
1825,Vietnam,Ho Chi Minh City,27.11,
1839,Vietnam,Ho Chi Minh City,26.69,
1840,Vietnam,Ho Chi Minh City,26.63,
1841,Vietnam,Ho Chi Minh City,27.02,
1842,Vietnam,Ho Chi Minh City,26.87,
1843,Vietnam,Ho Chi Minh City,26.94,26.864
1844,Vietnam,Ho Chi Minh City,26.41,26.83
1845,Vietnam,Ho Chi Minh City,26.12,26.774
1846,Vietnam,Ho Chi Minh City,26.94,26.672
1847,Vietnam,Ho Chi Minh City,26.41,26.656
1850,Vietnam,Ho Chi Minh City,26.65,26.564
1851,Vietnam,Ho Chi Minh City,26.82,26.506
1852,Vietnam,Ho Chi Minh City,26.7,26.588
1853,Vietnam,Ho Chi Minh City,26.87,26.704
1854,Vietnam,Ho Chi Minh City,26.89,26.69
1855,Vietnam,Ho Chi Minh City,26.76,26.786
1856,Vietnam,Ho Chi Minh City,26.53,26.808
1857,Vietnam,Ho Chi Minh City,26.51,26.75
1858,Vietnam,Ho Chi Minh City,26.83,26.712
1859,Vietnam,Ho Chi Minh City,26.88,26.704
1860,Vietnam,Ho Chi Minh City,26.69,26.702
1861,Vietnam,Ho Chi Minh City,26.58,26.688
1862,Vietnam,Ho Chi Minh City,24.85,26.698
1863,Vietnam,Ho Chi Minh City,26.67,26.366
1864,Vietnam,Ho Chi Minh City,26.52,26.334
1865,Vietnam,Ho Chi Minh City,26.89,26.262
1866,Vietnam,Ho Chi Minh City,26.84,26.302
1867,Vietnam,Ho Chi Minh City,26.86,26.354
1868,Vietnam,Ho Chi Minh City,27.06,26.756
1869,Vietnam,Ho Chi Minh City,26.64,26.834
1870,Vietnam,Ho Chi Minh City,26.51,26.858
1871,Vietnam,Ho Chi Minh City,26.54,26.782
1872,Vietnam,Ho Chi Minh City,26.87,26.722
1873,Vietnam,Ho Chi Minh City,26.95,26.724
1874,Vietnam,Ho Chi Minh City,27.03,26.702
1875,Vietnam,Ho Chi Minh City,26.52,26.78
1876,Vietnam,Ho Chi Minh City,26.4,26.782
1877,Vietnam,Ho Chi Minh City,27.15,26.754
1878,Vietnam,Ho Chi Minh City,27.44,26.81
1879,Vietnam,Ho Chi Minh City,26.76,26.908
1880,Vietnam,Ho Chi Minh City,26.75,26.854
1881,Vietnam,Ho Chi Minh City,26.89,26.9
1882,Vietnam,Ho Chi Minh City,26.84,26.998
1883,Vietnam,Ho Chi Minh City,26.67,26.936
1884,Vietnam,Ho Chi Minh City,26.4,26.782
1885,Vietnam,Ho Chi Minh City,26.87,26.71
1886,Vietnam,Ho Chi Minh City,26.65,26.734
1887,Vietnam,Ho Chi Minh City,26.34,26.686
1888,Vietnam,Ho Chi Minh City,27.04,26.586
1889,Vietnam,Ho Chi Minh City,27.12,26.66
1890,Vietnam,Ho Chi Minh City,26.72,26.804
1891,Vietnam,Ho Chi Minh City,26.93,26.774
1892,Vietnam,Ho Chi Minh City,26.36,26.83
1893,Vietnam,Ho Chi Minh City,26.38,26.834
1894,Vietnam,Ho Chi Minh City,26.59,26.702
1895,Vietnam,Ho Chi Minh City,26.91,26.596
1896,Vietnam,Ho Chi Minh City,26.94,26.634
1897,Vietnam,Ho Chi Minh City,27.39,26.636
1898,Vietnam,Ho Chi Minh City,26.77,26.842
1899,Vietnam,Ho Chi Minh City,26.7,26.92
1900,Vietnam,Ho Chi Minh City,27.24,26.942
1901,Vietnam,Ho Chi Minh City,26.94,27.008
1902,Vietnam,Ho Chi Minh City,26.92,27.008
1903,Vietnam,Ho Chi Minh City,27.06,26.914
1904,Vietnam,Ho Chi Minh City,26.73,26.972
1905,Vietnam,Ho Chi Minh City,27.32,26.978
1906,Vietnam,Ho Chi Minh City,27.26,26.994
1907,Vietnam,Ho Chi Minh City,26.95,27.058
1908,Vietnam,Ho Chi Minh City,26.77,27.064
1909,Vietnam,Ho Chi Minh City,26.96,27.006
1910,Vietnam,Ho Chi Minh City,26.98,27.052
1911,Vietnam,Ho Chi Minh City,27.28,26.984
1912,Vietnam,Ho Chi Minh City,27.56,26.988
1913,Vietnam,Ho Chi Minh City,26.92,27.11
1914,Vietnam,Ho Chi Minh City,27.31,27.14
1915,Vietnam,Ho Chi Minh City,27.32,27.21
1916,Vietnam,Ho Chi Minh City,26.52,27.278
1917,Vietnam,Ho Chi Minh City,26.54,27.126
1918,Vietnam,Ho Chi Minh City,26.7,26.922
1919,Vietnam,Ho Chi Minh City,27.33,26.878
1920,Vietnam,Ho Chi Minh City,27.08,26.882
1921,Vietnam,Ho Chi Minh City,26.82,26.834
1922,Vietnam,Ho Chi Minh City,27.08,26.894
1923,Vietnam,Ho Chi Minh City,26.98,27.002
1924,Vietnam,Ho Chi Minh City,27.12,27.058
1925,Vietnam,Ho Chi Minh City,26.87,27.016
1926,Vietnam,Ho Chi Minh City,27.4,26.974
1927,Vietnam,Ho Chi Minh City,27.14,27.09
1928,Vietnam,Ho Chi Minh City,26.82,27.102
1929,Vietnam,Ho Chi Minh City,26.8,27.07
1930,Vietnam,Ho Chi Minh City,27.29,27.006
1931,Vietnam,Ho Chi Minh City,27.54,27.09
1932,Vietnam,Ho Chi Minh City,26.98,27.118
1933,Vietnam,Ho Chi Minh City,27.2,27.086
1934,Vietnam,Ho Chi Minh City,26.91,27.162
1935,Vietnam,Ho Chi Minh City,27.43,27.184
1936,Vietnam,Ho Chi Minh City,27.51,27.212
1937,Vietnam,Ho Chi Minh City,27.56,27.206
1938,Vietnam,Ho Chi Minh City,27.36,27.322
1939,Vietnam,Ho Chi Minh City,27.23,27.354
1940,Vietnam,Ho Chi Minh City,27.4,27.418
1941,Vietnam,Ho Chi Minh City,28.04,27.412
1942,Vietnam,Ho Chi Minh City,27.34,27.518
1943,Vietnam,Ho Chi Minh City,26.87,27.474
1944,Vietnam,Ho Chi Minh City,27.16,27.376
1945,Vietnam,Ho Chi Minh City,27.23,27.362
1946,Vietnam,Ho Chi Minh City,27.81,27.328
1947,Vietnam,Ho Chi Minh City,27.59,27.282
1948,Vietnam,Ho Chi Minh City,27.35,27.332
1949,Vietnam,Ho Chi Minh City,27.51,27.428
1950,Vietnam,Ho Chi Minh City,27.37,27.498
1951,Vietnam,Ho Chi Minh City,27.34,27.526
1952,Vietnam,Ho Chi Minh City,27.48,27.432
1953,Vietnam,Ho Chi Minh City,27.59,27.41
1954,Vietnam,Ho Chi Minh City,27.38,27.458
1955,Vietnam,Ho Chi Minh City,27.24,27.432
1956,Vietnam,Ho Chi Minh City,27.16,27.406
1957,Vietnam,Ho Chi Minh City,27.5,27.37
1958,Vietnam,Ho Chi Minh City,27.72,27.374
1959,Vietnam,Ho Chi Minh City,27.73,27.4
1960,Vietnam,Ho Chi Minh City,27.69,27.47
1961,Vietnam,Ho Chi Minh City,27.57,27.56
1962,Vietnam,Ho Chi Minh City,27.39,27.642
1963,Vietnam,Ho Chi Minh City,27.22,27.62
1964,Vietnam,Ho Chi Minh City,27.48,27.52
1965,Vietnam,Ho Chi Minh City,27.37,27.47
1966,Vietnam,Ho Chi Minh City,27.89,27.406
1967,Vietnam,Ho Chi Minh City,27.34,27.47
1968,Vietnam,Ho Chi Minh City,27.41,27.46
1969,Vietnam,Ho Chi Minh City,27.82,27.498
1970,Vietnam,Ho Chi Minh City,27.37,27.566
1971,Vietnam,Ho Chi Minh City,27.07,27.566
1972,Vietnam,Ho Chi Minh City,27.59,27.402
1973,Vietnam,Ho Chi Minh City,27.77,27.452
1974,Vietnam,Ho Chi Minh City,27.42,27.524
1975,Vietnam,Ho Chi Minh City,27.44,27.444
1976,Vietnam,Ho Chi Minh City,27.27,27.458
1977,Vietnam,Ho Chi Minh City,27.41,27.498
1978,Vietnam,Ho Chi Minh City,27.46,27.462
1979,Vietnam,Ho Chi Minh City,27.59,27.4
1980,Vietnam,Ho Chi Minh City,27.54,27.434
1981,Vietnam,Ho Chi Minh City,27.71,27.454
1982,Vietnam,Ho Chi Minh City,27.55,27.542
1983,Vietnam,Ho Chi Minh City,27.77,27.57
1984,Vietnam,Ho Chi Minh City,27.43,27.632
1985,Vietnam,Ho Chi Minh City,27.64,27.6
1986,Vietnam,Ho Chi Minh City,27.47,27.62
1987,Vietnam,Ho Chi Minh City,28.02,27.572
1988,Vietnam,Ho Chi Minh City,27.79,27.666
1989,Vietnam,Ho Chi Minh City,27.52,27.67
1990,Vietnam,Ho Chi Minh City,27.88,27.688
1991,Vietnam,Ho Chi Minh City,27.71,27.736
1992,Vietnam,Ho Chi Minh City,27.64,27.784
1993,Vietnam,Ho Chi Minh City,27.5,27.708
1994,Vietnam,Ho Chi Minh City,27.6,27.65
1995,Vietnam,Ho Chi Minh City,27.65,27.666
1996,Vietnam,Ho Chi Minh City,27.43,27.62
1997,Vietnam,Ho Chi Minh City,27.8,27.564
1998,Vietnam,Ho Chi Minh City,28.39,27.596
1999,Vietnam,Ho Chi Minh City,27.45,27.774
2000,Vietnam,Ho Chi Minh City,27.59,27.744
2001,Vietnam,Ho Chi Minh City,27.83,27.732
2002,Vietnam,Ho Chi Minh City,28.06,27.812
2003,Vietnam,Ho Chi Minh City,27.83,27.864
2004,Vietnam,Ho Chi Minh City,27.69,27.752
2005,Vietnam,Ho Chi Minh City,27.88,27.8
2006,Vietnam,Ho Chi Minh City,28.04,27.858
2007,Vietnam,Ho Chi Minh City,27.87,27.9
2008,Vietnam,Ho Chi Minh City,27.61,27.862
2009,Vietnam,Ho Chi Minh City,27.85,27.818
2010,Vietnam,Ho Chi Minh City,28.28,27.85
2011,Vietnam,Ho Chi Minh City,27.68,27.93
2012,Vietnam,Ho Chi Minh City,28.25,27.858
2013,Vietnam,Ho Chi Minh City,28.46,27.934
